Galaxy wrapper id,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version
abricate,Mass screening of contigs for antiobiotic resistance genes,,,,,,Up-to-date,https://github.com/tseemann/abricate,Sequence Analysis,abricate,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/,#REF!,abricate,#REF!
aldex2,Performs analysis Of differential abundance taking sample variation into account,,,,,,Up-to-date,https://github.com/ggloor/ALDEx_bioc,Metagenomics,aldex2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2,,bioconductor-aldex2,
amplican,AmpliCan is an analysis tool for genome editing.,amplican,amplican,"It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.",,"PCR experiment, Statistics and probability",To update,https://github.com/valenlab/amplican,Sequence Analysis,amplican,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican,,bioconductor-amplican,
ancombc,Performs analysis of compositions of microbiomes with bias correction.,,,,,,Up-to-date,https://github.com/FrederickHuangLin/ANCOMBC,Metagenomics,ancombc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ancombc,,bioconductor-ancombc,
antismash,"Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters",antismash,antiSMASH,"Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.",,"Molecular interactions, pathways and networks, Gene and protein families",Up-to-date,https://antismash.secondarymetabolites.org,Sequence Analysis,antismash,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/antismash,,antismash,
artic,"The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building",artic,ARTIC,A bioinformatics pipeline for working with virus sequencing data sequenced with nanopore,,Genomics,To update,https://github.com/artic-network/fieldbioinformatics,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/artic,,artic,
augustus,AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.,augustus,AUGUSTUS,"AUGUSTUS is a eukaryotic gene prediction tool. It can integrate evidence, e.g. from RNA-Seq, ESTs, proteomics, but can also predict genes ab initio. The PPX extension to AUGUSTUS can take a protein sequence multiple sequence alignment as input to find new members of the family in a genome. It can be run through a web interface (see https://bio.tools/webaugustus), or downloaded and run locally.",,"Gene transcripts, Gene and protein families",To update,http://bioinf.uni-greifswald.de/augustus/,Sequence Analysis,augustus,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/augustus,,augustus,
bakta,"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis.""",,,,,,To update,https://github.com/oschwengers/bakta,Sequence Analysis,bakta,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/bakta,1.6.1,bakta,1.7.0
bandage,Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily,bandage,Bandage,"GUI program that allows users to interact with the assembly graphs made by de novo assemblers such as Velvet, SPAdes, MEGAHIT and others. It visualises assembly graphs, with connections, using graph layout algorithms.",,"Genomics, Sequence assembly",Up-to-date,https://github.com/rrwick/Bandage,Visualization,bandage,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bandage,,bandage,
Detecting natural selection from population-based genetic data,,bayescan,BayeScan,"BAYEsian genome SCAN for outliers, aims at identifying candidate loci under natural selection from genetic data, using differences in allele frequencies between populations. It is based on the multinomial-Dirichlet model.",,"Genetics, Evolutionary biology, Statistics and probability, DNA polymorphism",To update,http://cmpg.unibe.ch/software/BayeScan/index.html,Sequence Analysis,bayescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bayescan/,,bayescan,
binning_refiner,"Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.",,,,,,Up-to-date,https://github.com/songweizhi/Binning_refiner,Metagenomics,binning_refiner,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/binning_refiner/,,binning_refiner,
biohansel,Heidelberg and Enteritidis SNP Elucidation,,,,,,To update,https://github.com/phac-nml/biohansel,Sequence Analysis,biohansel,nml,https://github.com/phac-nml/biohansel,,bio_hansel,
biom_format,The biom-format package provides a command line interface and Python API for working with BIOM files.,,,,,,To update,https://github.com/biocore/biom-format,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/biom_format,,biom-format,
bracken,Bayesian Reestimation of Abundance with KrakEN,,,,,,To update,https://ccb.jhu.edu/software/bracken/,"Sequence Analysis, Metagenomics",bracken,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bracken,,bracken,
busco,BUSCO assess genome and annotation completeness,busco,BUSCO,"Provides measures for quantitative assessment of genome assembly, gene set, and transcriptome completeness based on evolutionarily informed expectations of gene content from near-universal single-copy orthologs.",,"Sequence assembly, Genomics, Transcriptomics, Sequence analysis",To update,http://busco.ezlab.org/,Sequence Analysis,busco,iuc,,,busco,
cat,Contig Annotation Tool (CAT),,,,,,To update,https://github.com/dutilh/CAT,Metagenomics,contig_annotation_tool,iuc,https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/cat,,cat,
cd_hit_dup,simple tool for removing duplicates from sequencing reads,,,,,,To update,,"Metagenomics, Sequence Analysis",cd_hit_dup,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/cd_hit_dup,,cd-hit-auxtools,
cdhit,Cluster or compare biological sequence datasets,,,,,,Up-to-date,http://weizhongli-lab.org/cd-hit/,"Sequence Analysis, Fasta Manipulation",cd_hit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cdhit,,cd-hit,
cemitool,Gene co-expression network analysis tool,,,,,,Up-to-date,https://www.bioconductor.org/packages/release/bioc/html/CEMiTool.html,"Transcriptomics, RNA, Statistics",cemitool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cemitool,,bioconductor-cemitool,
checkm,"Assess the quality of microbial genomes recovered from isolates, single cells, and metagenomes",,,,,,To update,https://github.com/Ecogenomics/CheckM,Metagenomics,checkm,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/checkm,,checkm-genome,
clinod,NoD: a Nucleolar localization sequence detector for eukaryotic and viral proteins,,,,,,To update,http://www.compbio.dundee.ac.uk/www-nod/,Sequence Analysis,clinod,peterjc,https://github.com/peterjc/pico_galaxy/tree/master/tools/clinod,,clinod,
clustalw,ClustalW multiple sequence alignment program for DNA or proteins,,,,,,Up-to-date,http://www.clustal.org/clustal2/,"Phylogenetics, Sequence Analysis",clustalw,devteam,https://github.com/galaxyproject/tools-iuc/tree/master/tools/clustalw,,clustalw,
codeml,Detects positive selection,,,,,,Up-to-date,http://abacus.gene.ucl.ac.uk/software/paml.html,Phylogenetics,codeml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/codeml,,paml,
cojac,co-occurrence of mutations on amplicons,,,,,,Up-to-date,https://github.com/cbg-ethz/cojac,"Metagenomics, Sequence Analysis",cojac,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cojac,,cojac,
combine_metaphlan2_humann2,Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances,,,,,,To update,,Metagenomics,combine_metaphlan2_humann2,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/combine_metaphlan2_humann2,,,
compare_humann2_output,Compare outputs of HUMAnN2 for several samples and extract similar and specific information,,,,,,To update,,Metagenomics,compare_humann2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/compare_humann2_output,,,
concoct,CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.,,,,,,Up-to-date,https://github.com/BinPro/CONCOCT,Metagenomics,concoct,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/concoct,,concoct,
coverm,CoverM genome and contig wrappers,,,,,,To update,https://github.com/wwood/CoverM,Sequence Analysis,coverm,iuc,https://github.com/galaxyproject/tools-iuc/tools/coverm,,coverm,
cryptogenotyper,CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.,,,,,,Up-to-date,https://github.com/phac-nml/CryptoGenotyper,Sequence Analysis,cryptogenotyper,nml,https://github.com/phac-nml/CryptoGenotyper,,cryptogenotyper,
cutadapt,Flexible tool to remove adapter sequences (and quality trim) high throughput sequencing reads (fasta/fastq).,,,,,,To update,https://cutadapt.readthedocs.org/en/stable/,"Fasta Manipulation, Fastq Manipulation, Sequence Analysis",cutadapt,lparsons,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cutadapt,,cutadapt,
dada2,DADA2 wrappers,dada2,dada2,"This package infers exact sequence variants (SVs) from amplicon data, replacing the commonly used and coarser OTU clustering approach. This pipeline inputs demultiplexed fastq files, and outputs the sequence variants and their sample-wise abundances after removing substitution and chimera errors. Taxonomic classification is available via a native implementation of the RDP naive Bayesian classifier.",,"Sequencing, Genetic variation, Microbial ecology, Metagenomics",To update,https://benjjneb.github.io/dada2/index.html,Metagenomics,dada2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/dada2,,bioconductor-dada2,
das_tool,DAS Tool for genome resolved metagenomics,,,,,,Up-to-date,https://github.com/cmks/DAS_Tool,Metagenomics,das_tool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/das_tool,,das_tool,
diamond,DIAMOND is a new alignment tool for aligning short DNA sequencing reads to a protein reference database such as NCBI-NR.,,,,,,Up-to-date,https://github.com/bbuchfink/diamond,Sequence Analysis,diamond,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/diamond,,diamond,
disco,DISCO is a overlap-layout-consensus (OLC) metagenome assembler,disco,DISCO,"DISCO is software to perform structure determination of protein homo-oligomers with cyclic symmetry.DISCO computes oligomeric protein structures using geometric constraints derived from RDCs and intermolecular distance restraints such as NOEs or disulfide bonds. When a reliable subunit structure can be calculated from intramolecular restraints, DISCO guarantees that all satisfying oligomer structures will be discovered, yet can run in minutes to hours on only a single desktop-class computer.",,Structure determination,To update,http://disco.omicsbio.org/,"Metagenomics, Assembly",disco,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/disco/,,disco,
dram,DRAM for distilling microbial metabolism to automate the curation of microbiome function,,,,,,To update,https://github.com/WrightonLabCSU/DRAM,Metagenomics,dram,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/dram,,,
drep,dRep compares and dereplicates genome sets,,,,,,To update,https://github.com/MrOlm/drep,Metagenomics,drep,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/drep,,drep,
ectyper,EC-Typer - in silico serotyping of Escherichia coli species,,,,,,Up-to-date,https://github.com/phac-nml/ecoli_serotyping,Sequence Analysis,ectyper,nml,https://github.com/phac-nml/ecoli_serotyping,,ectyper,
effectiveT3,Find bacterial type III effectors in protein sequences,,,,,,To update,http://effectors.org,Sequence Analysis,effectivet3,peterjc,https://github.com/peterjc/pico_galaxy/tree/master/tools/effectiveT3,,effectiveT3,
ete,Analyse phylogenetic trees using the ETE Toolkit,,,,,,To update,http://etetoolkit.org/,Phylogenetics,ete,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/ete,,ete3,
export2graphlan,export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn,,,,,,To update,https://bitbucket.org/CibioCM/export2graphlan/overview,Metagenomics,export2graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/export2graphlan/,,export2graphlan,
fargene,fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr ),,,,,,Up-to-date,https://github.com/fannyhb/fargene,Sequence Analysis,fargene,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fargene,,fargene,
fastp,Fast all-in-one preprocessing for FASTQ files,,,,,,To update,https://github.com/OpenGene/fastp,Sequence Analysis,fastp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastp,,fastp,
fastqe,FASTQE,,,,,,To update,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,Sequence Analysis,fastqe,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,,fastqe,
fasttree,FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL,fasttree,FastTree,Infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences.,,"Phylogenetics, Sequence analysis",To update,http://www.microbesonline.org/fasttree/,Phylogenetics,fasttree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fasttree,,fasttree,
filtlong,Filtlong - Filtering long reads by quality,,,,,,Up-to-date,https://github.com/rrwick/Filtlong,"Fastq Manipulation, Sequence Analysis",filtlong,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/filtlong,,filtlong,
format_metaphlan2_output,Format MetaPhlAn2 output to extract abundance at different taxonomic levels,,,,,,To update,,Metagenomics,format_metaphlan2_output,bebatut,https://github.com/bgruening/galaxytools/tree/master/tools/format_metaphlan2_output/,,,
fraggenescan,Tool for finding (fragmented) genes in short read,fraggenescan,FragGeneScan,Application for finding (fragmented) genes in short reads,,"Genetics, Sequence analysis",To update,https://sourceforge.net/projects/fraggenescan/,Sequence Analysis,fraggenescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fraggenescan/,,fraggenescan,
freyja,lineage abundances estimation,,,,,,To update,https://github.com/andersen-lab/Freyja,"Metagenomics, Sequence Analysis",freyja,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/freyja,,freyja,
funannotate,"Funannotate is a genome prediction, annotation, and comparison software package.",,,,,,To update,https://funannotate.readthedocs.io,Genome annotation,,iuc,,,,
getmlst,Download MLST datasets by species from pubmlst.org,,,,,,To update,,Sequence Analysis,getmlst,nml,,,srst2,
glimmer,Glimmer makes gene predictions.,gemini,GEMINI,"GEMINI (GEnome MINIng) is a flexible framework for exploring genetic variation in the context of the wealth of genome annotations available for the human genome. By placing genetic variants, sample phenotypes and genotypes, as well as genome annotations into an integrated database framework, GEMINI provides a simple, flexible, and powerful system for exploring genetic variation for disease and population genetics.",,Sequence analysis,To update,https://ccb.jhu.edu/software/glimmer/,Sequence Analysis,,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/glimmer,,glimmer,
glimmer_hmm,GlimmerHMM is a new gene finder based on a Generalized Hidden Markov Model (GHMM),,,,,,To update,https://ccb.jhu.edu/software/glimmerhmm/,Sequence Analysis,glimmer_hmm,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/glimmer_hmm,,,
goenrichment,Performs GO Enrichment analysis.,goenrichment,GOEnrichment,"GOEnrichment is a tool for performing GO enrichment analysis of gene sets, such as those obtained from RNA-seq or Microarray experiments, to help characterize them at the functional level. It is available in Galaxy Europe and as a stand-alone tool.GOEnrichment is flexible in that it allows the user to use any version of the Gene Ontology and any GO annotation file they desire. To enable the use of GO slims, it is accompanied by a sister tool GOSlimmer, which can convert annotation files from full GO to any specified GO slim.The tool features an optional graph clustering algorithm to reduce the redundancy in the set of enriched GO terms and simplify its output.It was developed by the BioData.pt / ELIXIR-PT team at the Instituto Gulbenkian de Ciência.",,Transcriptomics,Up-to-date,https://github.com/DanFaria/GOEnrichment,Genome annotation,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goenrichment,,goenrichment,
goseq,goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data,goseq,GOseq,Detect Gene Ontology and/or other user defined categories which are over/under represented in RNA-seq data.,,RNA-seq,To update,https://bioconductor.org/packages/release/bioc/html/goseq.html,"Statistics, RNA, Micro-array Analysis",goseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goseq,,bioconductor-goseq,
graphlan,GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees,,,,,,To update,https://bitbucket.org/nsegata/graphlan/overview,"Metagenomics, Graphics, Phylogenetics",graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann2/,,graphlan,
gubbins,Gubbins - bacterial recombination detection,gubbins,Gubbins,Gubbins is a tool for rapid phylogenetic analysis of large samples of recombinant bacterial whole genome sequences.,,"Phylogeny, Genotype and phenotype, Whole genome sequencing",Up-to-date,,Sequence Analysis,gubbins,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/gubbins,,gubbins,
guppy,A wrapper for the guppy basecaller tool from Oxford Nanopore Technologies,,,,,,To update,http://artbio.fr,Nanopore,guppy_basecaller,artbio,https://github.com/ARTbio/tools-artbio/tree/master/tools/guppy,,,
hamronization,Convert AMR gene detection tool output to hAMRonization specification format.,,,,,,To update,https://github.com/pha4ge/hAMRonization,Sequence Analysis,hamronization,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hamronization,,hamronization,
hansel,Heidelberg and Enteritidis SNP Elucidation,,,,,,Up-to-date,https://github.com/phac-nml/bio_hansel,Sequence Analysis,bio_hansel,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hansel,,bio_hansel,
hivtrace,An application that identifies potential transmission clusters within a supplied FASTA file with an option to find potential links against the Los Alamos HIV Sequence Database.,,,,,,To update,,Sequence Analysis,hivtrace,nml,https://github.com/phac-nml/galaxy_tools/tree/tools/hivtrace,,hivtrace,
hmmer3,"HMMER is used for searching sequence databases for homologs of proteinsequences, and for making protein sequence alignments. It implementsmethods using probabilistic models called profile hidden Markov models(profile HMMs).",hmmer3,HMMER3,"This tool is used for searching sequence databases for homologs of protein sequences, and for making protein sequence alignments. It implements methods using probabilistic models called profile hidden Markov models. The new HMMER3 project, HMMER is now as fast as BLAST for protein search.",,"Sequence analysis, Sequence sites, features and motifs, Gene and protein families",Up-to-date,http://hmmer.org/,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hmmer3,,hmmer,
humann,HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution,,,,,,To update,http://huttenhower.sph.harvard.edu/humann,Metagenomics,humann,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann,,humann,
hyphy,Hypothesis Testing using Phylogenies,HyPhy,HyPhy,"Software package for the analysis of genetic sequences using techniques in phylogenetics, molecular evolution, and machine learning.",,"Phylogeny, Small molecules, Molecular interactions, pathways and networks",To update,http://www.hyphy.org,Phylogenetics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hyphy/,,hyphy,
icescreen,ICEscreen identifies Integrative Conjugative Elements (ICEs) and Integrative Mobilizable Elements (IMEs) in Firmicutes genomes.,,,,,,Up-to-date,https://icescreen.migale.inrae.fr/,Genome annotation,icescreen,iuc,https://forgemia.inra.fr/ices_imes_analysis/icescreen,,icescreen,
infernal,"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities.",,,,,,Up-to-date,http://infernal.janelia.org/,RNA,infernal,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/infernal,,infernal,
instrain,InStrain is a tool for analysis of co-occurring genome populations from metagenomes,,,,,,To update,https://instrain.readthedocs.io/en/latest/#,Metagenomics,instrain,iuc,https://github.com/MrOlm/inStrain,,instrain,
interproscan,Interproscan queries the interpro database and provides annotations.,interproscan_4,InterProScan (EBI),Scan sequences against the InterPro protein signature databases.,,"Gene and protein families, Sequence analysis",To update,http://www.ebi.ac.uk/Tools/pfa/iprscan5/,Sequence Analysis,interproscan,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/interproscan,,interproscan,
iqtree,Efficient phylogenomic software by maximum likelihood,,,,,,To update,http://www.iqtree.org/,Phylogenetics,iqtree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/iqtree/,,iqtree,
itsx,ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.,ITSx,ITSx,"TSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences, which is commonly used as a molecular barcode for e.g. fungi. As the inclusion of parts of the neighbouring, very conserved, ribosomal genes (SSU, 5S and LSU rRNA sequences) in the sequence identification process can lead to severely misleading results, ITSx identifies and extracts only the ITS regions themselves.",,"Functional, regulatory and non-coding RNA, Microbiology",Up-to-date,https://microbiology.se/software/itsx/,Metagenomics,itsx,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/itsx,,itsx,
ivar,iVar is a computational package that contains functions broadly useful for viral amplicon-based sequencing,,,,,,Up-to-date,https://github.com/andersen-lab/ivar,Sequence Analysis,ivar,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ivar/,,ivar,
jbrowse,JBrowse Genome Browser integrated as a Galaxy Tool,jbrowse,JBrowse,"Slick, speedy genome browser with a responsive and dynamic AJAX interface for visualization of genome data. Being developed by the GMOD project as a successor to GBrowse.",,Genomics,Up-to-date,https://jbrowse.org,Sequence Analysis,jbrowse,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/jbrowse,,jbrowse,
kat_filter,Filtering kmers or reads from a database of kmers hashes,,,,,,To update,,Sequence Analysis,kat_filter,nml,,,kat,
kc-align,Kc-Align custom tool,kc-align,kc-align,A fast and accurate tool for performing codon-aware multiple sequence alignments,,Mapping,Up-to-date,https://github.com/davebx/kc-align,Sequence Analysis,kc_align,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kc-align,,kcalign,
kleborate,Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC),,,,,,Up-to-date,https://github.com/katholt/Kleborate/wiki,Metagenomics,kleborate,iuc,https://github.com/katholt/Kleborate,,kleborate,
kofamscan,Gene function annotation tool based on KEGG Orthology and hidden Markov model,,,,,,Up-to-date,https://github.com/takaram/kofam_scan,Sequence Analysis,kofamscan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kofamscan,,kofamscan,
kraken_biom,Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/),,,,,,Up-to-date,https://github.com/smdabdoub/kraken-biom,Metagenomics,kraken_biom,iuc,https://github.com/smdabdoub/kraken-biom,,kraken-biom,
kraken_taxonomy_report,Kraken taxonomy report,,,,,,To update,https://github.com/blankenberg/Kraken-Taxonomy-Report,Metagenomics,kraken_taxonomy_report,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kraken_taxonomy_report,,biopython,
krocus,Predict MLST directly from uncorrected long reads,,,,,,To update,https://github.com/quadram-institute-bioscience/krocus,Sequence Analysis,krocus,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/krocus,,krocus,
legsta,Performs in silico Legionella pneumophila sequence based typing.,,,,,,Up-to-date,https://github.com/tseemann/legsta,Sequence Analysis,legsta,iuc,https://github.com/tseemann/legsta,,legsta,
lighter,Lighter is a kmer-based error correction method for whole genome sequencing data,,,,,,To update,,"Sequence Analysis, Fasta Manipulation",lighter,bgruening,https://github.com/mourisl/Lighter,,lighter,
lorikeet,Tools for M. tuberculosis DNA fingerprinting (spoligotyping),,,,,,Up-to-date,https://github.com/AbeelLab/lorikeet,Sequence Analysis,lorikeet_spoligotype,iuc,https://github.com/AbeelLab/lorikeet,,lorikeet,
lotus2,LotuS2 OTU processing pipeline,,,,,,Up-to-date,http://lotus2.earlham.ac.uk/,Metagenomics,lotus2,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/lotus2,,lotus2,
maaslin2,MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.,,,,,,Up-to-date,http://huttenhower.sph.harvard.edu/maaslin,Metagenomics,maaslin2,iuc,https://github.com/biobakery/Maaslin2,,maaslin2,
mafft,Multiple alignment program for amino acid or nucleotide sequences,,,,,,Up-to-date,,RNA,mafft,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/mafft,,mafft,
maker,MAKER is a portable and easily configurable genome annotation pipeline.Its purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,maker,MAKER,Portable and easily configurable genome annotation pipeline. It’s purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,,"Genomics, DNA, Sequence analysis",To update,http://www.yandell-lab.org/software/maker.html,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maker,,maker,
mash,Fast genome and metagenome distance estimation using MinHash,mash,Mash,Fast genome and metagenome distance estimation using MinHash.,,"Genomics, Metagenomics, Statistics and probability, Sequence analysis, DNA mutation",Up-to-date,https://github.com/marbl/Mash,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mash,,mash,
maxbin2,clusters metagenomic contigs into bins,masigpro,maSigPro,Regression based approach to find genes for which there are significant gene expression profile differences between experimental groups in time course microarray and RNA-Seq experiments.,,"Gene expression, Molecular genetics, Microarray experiment, RNA-Seq",To update,https://downloads.jbei.org/data/microbial_communities/MaxBin/MaxBin.html,Metagenomics,maxbin2,mbernt,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maxbin2/,,maxbin2,
mcl,Markov Cluster Algorithm,,,,,,Up-to-date,http://micans.org/mcl/,"Sequence Analysis, Metagenomics",mcl,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/mcl,,mcl,
mea,Maximum expected accuracy prediction,,,,,,To update,http://www.bioinf.uni-leipzig.de/Software/mea,RNA,mea,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/mea,,mea,
