Human readable	Description	Machine readable
Suite ID	ID of Galaxy suite	id
Tool IDs	List of Galaxy tool IDs	tool_ids
Description	Description of the suite	description
Homepage	Homepage for tool	homepage
Suite version	Version of the Galaxy suite	version
Suite Conda package	Conda package used as requirement for the suite	name
Latest suite conda package version	Latest Conda package version on anaconda	latest_version
Suite version status	Update status derived by comparing the suite version to the latest conda package version	version_status
ToolShed categories	ToolShed categories	categories
EDAM operations	EDAM operations extracted using bio.tools	
EDAM reduced operations	EDAM operations where only the most specific terms are kept, i.e. all terms that are superclasses of other terms are removed	
EDAM topics	EDAM topics extracted using bio.tools	
EDAM reduced topics	EDAM topics where only the most specific terms are kept, i.e. all terms that are superclasses of other terms are removed	
Suite owner	Owner of the Galaxy suite	owner
Suite source	Path to the Galaxy suite	parsed_folder
bio.tools ID	ID of the bio.tools entry corresponding to the tool	id
bio.tools name	Name of the bio.tools entry corresponding to the tool	name
bio.tools description	Description in bio.tools entry corresponding to the tool	description
bii ID	ID of BII entry corresponding to the tool	id
Number of tools available on ... 	Number of tools available on given Galaxy server
Suite users (last 5 years) on ... 	Number of users of the suite in the last 5 years on given Galaxy server
Suite users on ... 	Number of users of the suite on given Galaxy server
Suite runs (last 5 years) on ... 	Number of runs of the suite tools in the last 5 years on given Galaxy server
Suite runs on ... 	Number of runs of the suite tools on given Galaxy server
Suite users (last 5 years) on main servers	Number of users of the suite in the last 5 years on all UseGalaxy servers
Suite users on main servers	Number of users of the suite on all UseGalaxy servers
Suite runs (last 5 years) on main servers	Number of runs of the suite tools in the last 5 years on all UseGalaxy servers
Suite runs on main servers	Number of runs of the suite tools on all UseGalaxy servers
Deprecated	Deprecation status after review by a domain expert	deprecated
To keep	Status to add to a community after review by a domain expert	to_keep